loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_f1_macro,validation_runtime,validation_samples_per_second,validation_steps_per_second,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_f1_macro,test_runtime,test_samples_per_second,test_steps_per_second
0.6639,6.912013530731201,0.0008999531176746367,0.5002344116268167,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,2133,0.6627757549285889,0.5900562851782364,0.5515021459227468,0.9643527204502814,0.7017064846416382,0.5232670354242674,7.7981,136.7,34.239,,,,,,,,,,,,,,,,,,,,,,,
0.6153,7.573286533355713,0.0007999062353492733,1.0004688232536334,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5754,6.964298248291016,0.0006998593530239101,1.50070323488045,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,4266,0.5132272243499756,0.7270168855534709,0.6704225352112676,0.8930581613508443,0.7658889782783588,0.7192774475193819,7.8691,135.466,33.93,,,,,,,,,,,,,,,,,,,,,,,
0.5812,3.6495566368103027,0.0005998124706985466,2.000937646507267,4268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5642,7.098901271820068,0.0004997655883731833,2.5011720581340837,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,6399,0.4759766459465027,0.7795497185741088,0.791015625,0.7598499061913696,0.7751196172248804,0.7794641324394871,7.9402,134.254,33.626,,,,,,,,,,,,,,,,,,,,,,,
0.5562,4.873851776123047,0.00039971870604781995,3.0014064697609,6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5468,4.070394515991211,0.00029967182372245667,3.5016408813877167,7469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,8532,0.47647348046302795,0.7842401500938087,0.8498845265588915,0.6904315196998124,0.7619047619047619,0.7823245936453483,7.968,133.785,33.509,,,,,,,,,,,,,,,,,,,,,,,
0.545,7.9840569496154785,0.0001996249413970933,4.001875293014534,8536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5475,3.0732336044311523,9.957805907172996e-05,4.5021097046413505,9603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,0.46815723180770874,0.7814258911819888,0.7840909090909091,0.776735459662289,0.7803958529688972,0.7814210824134868,7.9501,134.087,33.585,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,412.6869,103.347,25.843,2805421627776000.0,0.5734266607514358,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,0.46815723180770874,0.7814258911819888,0.7840909090909091,0.776735459662289,0.7803958529688972,0.7814210824134868,7.884,135.21,33.866,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,,,,,,,,,,0.49773281812667847,0.7645403377110694,0.7630597014925373,0.7673545966228893,0.7652011225444341,0.7645384728432425,7.897,134.987,33.81
