loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_f1_macro,validation_runtime,validation_samples_per_second,validation_steps_per_second,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_f1_macro,test_runtime,test_samples_per_second,test_steps_per_second
0.5398,1.098921537399292,1.7999062353492735e-05,0.5002344116268167,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,2133,0.507552444934845,0.8461538461538461,0.8265486725663717,0.8761726078799249,0.8506375227686703,0.8460150863359792,8.0609,132.243,33.123,,,,,,,,,,,,,,,,,,,,,,,
0.5051,0.4441170394420624,1.5998124706985466e-05,1.0004688232536334,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.274,330.033447265625,1.3997187060478201e-05,1.50070323488045,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,4266,0.7440683841705322,0.8545966228893058,0.8247422680412371,0.900562851782364,0.8609865470852018,0.854288750435423,8.081,131.914,33.04,,,,,,,,,,,,,,,,,,,,,,,
0.3181,0.07388646900653839,1.1996249413970934e-05,2.000937646507267,4268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116,0.035718176513910294,9.995311767463667e-06,2.5011720581340837,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,6399,0.9466415047645569,0.8555347091932458,0.8402154398563735,0.8780487804878049,0.8587155963302753,0.855461444998151,8.0805,131.922,33.042,,,,,,,,,,,,,,,,,,,,,,,
0.1183,0.005158495157957077,7.9943741209564e-06,3.0014064697609,6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0382,0.003921040333807468,5.993436474449133e-06,3.5016408813877167,7469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,8532,1.0477421283721924,0.8574108818011257,0.8383658969804618,0.8855534709193246,0.8613138686131386,0.8572978609474959,8.0775,131.972,33.055,,,,,,,,,,,,,,,,,,,,,,,
0.0542,0.01455641258507967,3.992498827941866e-06,4.001875293014534,8536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0121,0.0008201148011721671,1.9915611814345993e-06,4.5021097046413505,9603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,1.1902287006378174,0.8621013133208255,0.8574074074074074,0.8686679174484052,0.8630009319664492,0.862095366833083,8.0519,132.391,33.16,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,1604.8521,26.576,6.645,2805421627776000.0,0.19917431056527427,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,1.1902287006378174,0.8621013133208255,0.8574074074074074,0.8686679174484052,0.8630009319664492,0.862095366833083,7.8756,135.354,33.902,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,,,,,,,,,,1.268351435661316,0.8545966228893058,0.8606870229007634,0.8461538461538461,0.8533585619678334,0.8545862577281027,7.8608,135.61,33.966
