loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_f1_macro,validation_runtime,validation_samples_per_second,validation_steps_per_second,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_f1_macro,test_runtime,test_samples_per_second,test_steps_per_second
0.522,1.9601303339004517,0.00017999062353492735,0.5002344116268167,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,2133,0.44331544637680054,0.848968105065666,0.8444444444444444,0.8555347091932458,0.8499534016775396,0.8489615922457576,8.5664,124.44,31.168,,,,,,,,,,,,,,,,,,,,,,,
0.4563,0.49728378653526306,0.00015998124706985466,1.0004688232536334,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41,0.5824933052062988,0.000139971870604782,1.50070323488045,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,4266,0.5230754613876343,0.8574108818011257,0.850828729281768,0.8667917448405253,0.8587360594795539,0.85739833277008,8.6062,123.864,31.024,,,,,,,,,,,,,,,,,,,,,,,
0.4244,7.357228755950928,0.00011996249413970932,2.000937646507267,4268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3692,22.753217697143555,9.995311767463666e-05,2.5011720581340837,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,6399,0.5073128938674927,0.8555347091932458,0.8477064220183487,0.8667917448405253,0.8571428571428571,0.8555164001084304,8.603,123.91,31.036,,,,,,,,,,,,,,,,,,,,,,,
0.3614,0.20968741178512573,7.9943741209564e-05,3.0014064697609,6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3184,0.242364764213562,5.993436474449134e-05,3.5016408813877167,7469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,8532,0.5533722043037415,0.8574108818011257,0.8601134215500945,0.8536585365853658,0.8568738229755178,0.8574088741045813,8.6166,123.715,30.987,,,,,,,,,,,,,,,,,,,,,,,
0.3258,0.147110253572464,3.992498827941866e-05,4.001875293014534,8536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2889,0.11060698330402374,1.9915611814345993e-05,4.5021097046413505,9603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,0.5573820471763611,0.8555347091932458,0.8477064220183487,0.8667917448405253,0.8571428571428571,0.8555164001084304,8.6179,123.696,30.982,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,846.4496,50.387,12.6,2824791808358400.0,0.37783283532308515,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,0.5230754613876343,0.8574108818011257,0.850828729281768,0.8667917448405253,0.8587360594795539,0.85739833277008,8.5518,124.652,31.221,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,,,,,,,,,,0.5830252170562744,0.850844277673546,0.8582375478927203,0.8405253283302064,0.8492890995260663,0.8508283937741752,8.5672,124.429,31.166
