loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_f1_macro,validation_runtime,validation_samples_per_second,validation_steps_per_second,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_f1_macro,test_runtime,test_samples_per_second,test_steps_per_second
0.52,0.5620609521865845,0.00017999062353492735,0.5002344116268167,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,2133,0.4383244216442108,0.8536585365853658,0.851024208566108,0.8574108818011257,0.8542056074766355,0.853656476054702,10.304,103.454,25.912,,,,,,,,,,,,,,,,,,,,,,,
0.4545,0.4278056025505066,0.00015998124706985466,1.0004688232536334,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4029,0.5304802060127258,0.000139971870604782,1.50070323488045,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.0,4266,0.5168461203575134,0.8611632270168855,0.8419182948490231,0.8893058161350844,0.864963503649635,0.861053180396246,10.297,103.525,25.93,,,,,,,,,,,,,,,,,,,,,,,
0.4301,8.423379898071289,0.00011996249413970932,2.000937646507267,4268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3752,18.934572219848633,9.995311767463666e-05,2.5011720581340837,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.0,6399,0.4903617203235626,0.8677298311444653,0.8616236162361623,0.8761726078799249,0.8688372093023256,0.8677204021913709,10.362,102.876,25.767,,,,,,,,,,,,,,,,,,,,,,,
0.3577,0.35832479596138,7.9943741209564e-05,3.0014064697609,6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.319,0.23656558990478516,5.993436474449134e-05,3.5016408813877167,7469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.0,8532,0.5363263487815857,0.8611632270168855,0.8584729981378026,0.8649155722326454,0.8616822429906542,0.8611612721544608,10.288,103.616,25.952,,,,,,,,,,,,,,,,,,,,,,,
0.3279,0.12324545532464981,3.992498827941866e-05,4.001875293014534,8536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2884,0.13520370423793793,1.9915611814345993e-05,4.5021097046413505,9603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,0.5556052923202515,0.8592870544090057,0.852670349907919,0.8686679174484052,0.8605947955390335,0.8592746704967895,10.36,102.895,25.772,,,,,,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,1002.1335,42.559,10.642,2824791808358400.0,0.3773251361372993,,,,,,,,,,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,0.4903617203235626,0.8677298311444653,0.8616236162361623,0.8761726078799249,0.8688372093023256,0.8677204021913709,10.2607,103.891,26.022,,,,,,,,,
,,,5.0,10665,,,,,,,,,,,,,,,,,,,,,,,,0.5908641815185547,0.8442776735459663,0.8442776735459663,0.8442776735459663,0.8442776735459663,0.8442776735459663,10.222,104.284,26.12
